ITEMTYPE,ITEMID,COLOR,MAXPRICE,MINQTY,CONDITION,NOTIFY
P,2343,86,-1,1,X,N
P,2431,2,-1,1,X,N
P,2431,69,-1,1,X,N
P,2462,85,-1,1,X,N
P,2877,88,-1,1,X,N
P,3002,88,-1,1,X,N
P,3006,88,-1,1,X,N
P,3007,11,-1,1,X,N
P,3020,86,-1,1,X,N
P,3021,85,-1,1,X,N
P,3022,86,-1,1,X,N
P,3030,11,-1,1,X,N
P,3032,2,-1,1,X,N
P,3032,69,-1,1,X,N
P,3032,86,-1,1,X,N
P,3033,86,-1,1,X,N
P,3034,88,-1,1,X,N
P,3035,85,-1,1,X,N
P,3035,86,-1,1,X,N
P,32000,2,-1,1,X,N
P,3298,2,-1,1,X,N
P,3622,85,-1,1,X,N
P,3622,155,-1,1,X,N
P,3705,11,-1,1,X,N
P,3749,2,-1,1,X,N
P,3832,86,-1,1,X,N
P,3960,85,-1,1,X,N
P,4282,2,-1,1,X,N
P,4287,85,-1,1,X,N
P,4477,86,-1,1,X,N
P,30375,120,-1,1,X,N
P,4510,85,-1,1,X,N
P,4742,85,-1,1,X,N
P,6112,85,-1,1,X,N
P,6182,86,-1,1,X,N
P,6636,2,-1,1,X,N
P,32316,11,-1,1,X,N
P,2958,11,-1,1,X,N
P,30503,85,-1,1,X,N
P,30526,85,-1,1,X,N
P,43093,7,-1,1,X,N
P,3069b,59,-1,1,X,N
P,3069b,115,-1,1,X,N
P,3068b,3,-1,1,X,N
P,3068b,59,-1,1,X,N
P,3068b,80,-1,1,X,N
P,43722,86,-1,1,X,N
P,44728,11,-1,1,X,N
P,43898,71,-1,1,X,N
P,43898,85,-1,1,X,N
P,3678b,86,-1,1,X,N
P,48723,88,-1,1,X,N
P,51739,69,-1,1,X,N
P,59349,2,-1,1,X,N
P,60478,86,-1,1,X,N
P,60474,86,-1,1,X,N
P,4589b,1,-1,1,X,N
P,4589b,115,-1,1,X,N
P,60477,86,-1,1,X,N
P,60808,2,-1,1,X,N
P,87580,86,-1,1,X,N
P,87079,2,-1,1,X,N
P,2431,85,-1,2,X,N
P,2431,88,-1,2,X,N
P,2456,2,-1,2,X,N
P,2730,11,-1,2,X,N
P,3001,86,-1,2,X,N
